day,time,,wea,tem,hum,win,dir,winclass,rain,tembody
2019/1/1,0:00,,局部多云,-5℃,18%,软风,东南风,1级,-,-5℃
2019/1/1,1:00,,局部多云,-5℃,19%,软风,西风,1级,-,-5℃
2019/1/1,2:00,,局部多云,-6℃,20%,软风,北风,1级,-,-6℃
2019/1/1,3:00,,局部多云,-6℃,20%,软风,北风,1级,-,-6℃
2019/1/1,4:00,,局部多云,-6℃,21%,软风,西北风,1级,-,-6℃
2019/1/1,5:00,,局部多云,-6℃,21%,轻风,西北风,2级,-,-6℃
2019/1/1,6:00,,局部多云,-6℃,22%,轻风,西北风,2级,-,-6℃
2019/1/1,7:00,,局部多云,-6℃,23%,轻风,西北风,2级,-,-6℃
2019/1/1,8:00,,局部多云,-6℃,24%,轻风,西北风,2级,-,-6℃
2019/1/1,9:00,,局部多云,-4℃,24%,轻风,西北风,2级,-,-4℃
2019/1/1,10:00,,局部多云,-3℃,24%,轻风,西北风,2级,-,-3℃
2019/1/1,11:00,,局部多云,-2℃,23%,轻风,西北风,2级,-,-2℃
2019/1/1,12:00,,局部多云,0℃,23%,微风,西北风,3级,-,-1℃
2019/1/1,13:00,,局部多云,1℃,22%,微风,西北风,3级,-,-1℃
2019/1/1,14:00,,局部多云,2℃,21%,和风,西北风,4级,-,0℃
2019/1/1,15:00,,局部多云,1℃,22%,微风,西北风,3级,-,0℃
2019/1/1,16:00,,局部多云,1℃,22%,轻风,西北风,2级,-,0℃
2019/1/1,17:00,,局部多云,0℃,22%,软风,西北风,1级,-,0℃
2019/1/1,18:00,,局部多云,-1℃,23%,轻风,西风,2级,-,-1℃
2019/1/1,19:00,,局部多云,-1℃,24%,轻风,西风,2级,-,-2℃
2019/1/1,20:00,,局部多云,-2℃,24%,微风,西风,3级,-,-3℃
2019/1/1,21:00,,局部多云,-2℃,25%,微风,西风,3级,-,-3℃
2019/1/1,22:00,,局部多云,-2℃,26%,微风,西北风,3级,-,-3℃
2019/1/1,23:00,,局部多云,-2℃,26%,微风,西北风,3级,-,-4℃
2019/1/2,0:00,,局部多云,-3℃,27%,微风,西北风,3级,-,-4℃
2019/1/2,1:00,,局部多云,-3℃,27%,微风,西北风,3级,-,-4℃
2019/1/2,2:00,,局部多云,-3℃,28%,微风,西北风,3级,-,-4℃
2019/1/2,3:00,,局部多云,-4℃,28%,微风,北风,3级,-,-5℃
2019/1/2,4:00,,局部多云,-4℃,29%,微风,北风,3级,-,-5℃
2019/1/2,5:00,,局部多云,-5℃,29%,微风,北风,3级,-,-6℃
2019/1/2,6:00,,局部多云,-5℃,29%,轻风,西南风,2级,-,-6℃
2019/1/2,7:00,,局部多云,-6℃,30%,轻风,东南风,2级,-,-6℃
2019/1/2,8:00,,局部多云,-6℃,30%,轻风,北风,2级,-,-6℃
2019/1/2,9:00,,局部多云,-5℃,27%,轻风,东北风,2级,-,-5℃
2019/1/2,10:00,,局部多云,-4℃,25%,轻风,东风,2级,-,-4℃
2019/1/2,11:00,,局部多云,-3℃,22%,轻风,东风,2级,-,-3℃
2019/1/2,12:00,,局部多云,-2℃,21%,微风,东南风,3级,-,-2℃
2019/1/2,13:00,,局部多云,-1℃,21%,微风,东南风,3级,-,-2℃
2019/1/2,14:00,,局部多云,0℃,20%,微风,东南风,3级,-,-2℃
2019/1/2,15:00,,局部多云,-1℃,21%,微风,东南风,3级,-,-2℃
2019/1/2,16:00,,局部多云,-1℃,22%,微风,东南风,3级,-,-2℃
2019/1/2,17:00,,局部多云,-1℃,23%,微风,东南风,3级,-,-3℃
2019/1/2,18:00,,多云,-2℃,24%,微风,东南风,3级,-,-3℃
2019/1/2,19:00,,局部多云,-2℃,25%,轻风,东南风,2级,-,-2℃
2019/1/2,20:00,,多云,-2℃,26%,轻风,东南风,2级,-,-2℃
2019/1/2,21:00,,阴天,-3℃,27%,轻风,东南风,2级,-,-3℃
2019/1/2,22:00,,多云,-3℃,28%,轻风,东风,2级,-,-3℃
2019/1/2,23:00,,阴天,-3℃,28%,轻风,东风,2级,-,-3℃
2019/1/3,0:00,,多云,-3℃,31%,轻风,东风,2级,-,-3℃
2019/1/3,1:00,,阴天,-4℃,31%,轻风,东风,2级,-,-4℃
2019/1/3,2:00,,多云,-4℃,32%,轻风,东风,2级,-,-4℃
